datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2019/10/30 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,12,0,1,-19.6400,-57.0690,20.1
2019/10/30 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,12,0,0.9,-19.6360,-57.0400,206.5
2019/10/30 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,12,0,1,-19.6100,-56.9180,13.7
2019/11/04 17:50:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,0.5,-19.7290,-57.1030,40.8
2019/11/04 17:50:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,0.7,-19.1260,-56.1840,55.4
2019/11/04 17:50:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,0.9,-18.4710,-55.5490,45.8
2019/11/04 17:50:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0.6,-17.8450,-56.1200,29.3
2019/11/04 17:50:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,0.5,-19.6930,-57.0150,16.1
2019/11/04 17:50:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,0.1,-18.6140,-57.1820,40.8
2019/07/10 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,20,0,0.9,-20.4620,-57.6580,13.1
2019/07/10 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,17,0,1,-20.4610,-57.6480,12
2019/07/10 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,16,0,1,-20.1540,-57.9570,35.4
2019/07/10 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,14,0,1,-20.1530,-57.9460,8.1
2019/07/10 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,14,0,0.8,-20.1430,-57.9480,33.9
2019/07/10 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,14,0,1,-20.1420,-57.9380,27.9
2019/07/19 17:25:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,15,0.1,1,-18.7740,-56.4260,10.6
2019/07/14 17:05:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,10,0,1,-19.2210,-57.1280,108.5
2019/07/16 16:55:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,13,0,1,-17.9940,-56.3030,21.2
2019/07/16 16:55:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,13,0,1,-17.9960,-56.3100,23.3
2019/08/05 18:05:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,2,0,0.6,-20.2330,-58.0650,18.8
2019/08/05 18:05:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,11,0,1,-18.6720,-56.7540,31.3
2019/08/05 18:05:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,11,0,0.8,-18.8410,-57.1410,43.1
2019/08/05 18:05:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,11,0,0.8,-18.8420,-57.1480,47.9
2019/08/05 18:05:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,2,0,1,-19.6720,-57.6900,58.1
2019/07/10 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,36,0,1,-20.5030,-57.6830,9.2
2019/07/10 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,12,0,0.7,-20.6500,-57.8340,8
2019/07/10 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,12,0,0.7,-20.6590,-57.8330,19.5
2019/07/10 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,13,0,0.8,-20.6610,-57.8430,6
2019/07/10 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,14,0,1,-17.6740,-55.8260,5.5
2019/08/11 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,17,0,1,-17.3220,-56.2220,52.8
2019/08/11 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,17,0,1,-18.0930,-55.9640,7.4
2019/08/11 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,8,0,0.8,-20.8590,-57.8600,62.5
2019/08/12 18:15:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,9,0,1,-20.1000,-57.9290,46.3
