datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/06/17 17:35:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,9,0,0.7,-20.8760,-57.8520,16.1
2020/06/17 17:35:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,9,0,0.7,-20.8750,-57.8420,19.3
2020/06/17 17:35:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,11,0,0.7,-20.8570,-57.8450,18.8
2020/06/17 17:35:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,10,0,0.7,-20.8660,-57.8440,26.2
2020/06/17 17:35:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,10,0,0.7,-20.8670,-57.8530,15.3
2020/06/17 17:35:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,0.6,-20.2870,-57.3990,87.6
2020/06/17 17:35:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,15,0,0.7,-18.0430,-57.3500,33.6
2020/06/17 17:35:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,14,0,0.8,-18.1220,-57.0170,15.5
2020/06/17 17:35:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,13,0,0.9,-18.1310,-57.0150,11.4
2020/06/17 17:35:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,0.6,-18.7370,-57.5540,4.2
2020/06/17 17:35:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,0.6,-18.7380,-57.5630,10
2020/06/17 17:35:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,0.6,-18.7770,-57.6490,6.6
2020/06/17 17:35:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,0.6,-18.7860,-57.6470,12.5
2020/06/17 17:35:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,17,0,1,-18.0070,-56.8000,5.5
2020/06/17 17:35:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,17,0,1,-18.0130,-56.7780,14.8
2020/06/17 17:35:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,15,0,0.7,-18.0420,-57.3400,5.5
2020/06/19 17:25:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,27,0,1,-18.0320,-56.2840,11.8
2020/06/19 17:25:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,5,0,0.7,-20.3000,-57.3840,25.4
2020/06/19 17:25:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,5,0,0.8,-20.2990,-57.3730,9.1
2020/11/28 17:10:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0.4,-19.4630,-57.9290,30.1
2020/11/28 17:10:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0.1,-18.4430,-57.0630,22.7
2020/06/20 18:10:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,19,0,0.8,-17.6510,-56.3870,124.7
2020/06/20 18:10:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,17,0,0.5,-17.6450,-56.3940,110.3
2020/06/20 18:10:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,15,0,0.9,-18.5680,-57.0610,29.6
2020/11/29 17:55:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,,,-19.4490,-57.9180,20.4
2020/11/29 17:55:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,,,-17.7830,-57.6220,33.1
2020/11/29 17:55:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,,,-19.4620,-57.9250,19.8
