datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2018/01/26 17:45:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,16.9,0,-17.8500,-55.4190,17.8
2018/01/26 17:45:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,20.5,0,-17.8360,-55.4070,25
2018/01/03 17:35:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0.1,-19.6570,-57.8460,11.3
2018/01/03 17:35:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0.1,-19.6590,-57.8560,24.9
2018/02/04 17:35:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0.1,-20.4920,-57.9290,6
2018/02/04 17:35:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0.1,-20.4930,-57.9390,5.9
2018/02/06 17:25:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0.1,-19.8200,-57.8550,6.8
2018/02/06 17:25:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0.3,0,-17.5330,-55.4410,12.3
2018/02/06 17:25:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0.4,0,-17.6590,-55.6060,16.8
2018/01/24 17:55:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0.1,0.5,-19.7610,-57.9700,21.6
2018/01/24 17:55:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0.1,0.5,-19.7580,-57.9550,13
2018/01/24 17:55:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0.1,0.5,-19.7740,-57.9820,43.7
2018/01/24 17:55:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0.1,0.5,-19.7720,-57.9670,84.3
2018/01/24 17:55:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0.1,0.5,-19.7830,-57.9650,80.9
2018/01/24 17:55:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0.1,0.7,-19.7800,-57.9510,24.7
